bin,hour_dec,fair_per_day,ref_W1,ref_W3,ref_W4,ref_mean,ref_std,lift
157,13.083333333333334,130.0,111.66666666666667,142.0,111.66666666666667,121.77777777777779,14.299270463994626,8.222222222222214
158,13.166666666666666,121.66666666666667,115.0,144.0,105.33333333333333,121.44444444444444,16.43017398824342,0.22222222222222854
159,13.25,139.0,86.0,133.33333333333334,145.66666666666666,121.66666666666667,25.71784219967545,17.33333333333333
160,13.333333333333334,116.33333333333333,92.0,135.0,141.33333333333334,122.77777777777779,21.916226583386134,-6.444444444444457
161,13.416666666666666,130.0,126.66666666666667,123.0,140.33333333333334,130.0,7.458527309705964,0.0
162,13.5,122.0,123.0,130.33333333333334,130.66666666666666,128.0,3.5381518506868126,-6.0
163,13.583333333333334,151.33333333333334,128.66666666666666,110.66666666666667,115.66666666666667,118.33333333333333,7.586537784494022,33.000000000000014
164,13.666666666666666,135.33333333333334,138.66666666666666,103.33333333333333,137.66666666666666,126.55555555555554,16.425664952622235,8.7777777777778
165,13.75,151.33333333333334,109.33333333333333,110.0,127.66666666666667,115.66666666666667,8.489645108841366,35.66666666666667
166,13.833333333333334,156.0,114.0,99.33333333333333,99.0,104.1111111111111,6.9938244363805415,51.8888888888889
167,13.916666666666666,117.33333333333333,107.33333333333333,110.66666666666667,83.0,100.33333333333333,12.331831740421782,17.0
168,14.0,96.33333333333333,99.33333333333333,97.33333333333333,92.33333333333333,96.33333333333333,2.943920288775949,0.0
169,14.083333333333334,107.0,82.0,101.66666666666667,120.33333333333333,101.33333333333333,15.651292693032193,5.666666666666671
170,14.166666666666666,133.66666666666666,110.66666666666667,120.66666666666667,126.33333333333333,119.22222222222223,6.476929618573184,14.444444444444429
171,14.25,124.0,109.0,108.33333333333333,118.66666666666667,112.0,4.721895413527954,12.0
172,14.333333333333334,107.0,148.66666666666666,122.0,110.0,126.88888888888887,16.15969685573141,-19.88888888888887
173,14.416666666666666,114.0,130.66666666666666,89.66666666666667,135.0,118.44444444444444,20.425716059497393,-4.444444444444443
174,14.5,130.0,144.66666666666666,87.66666666666667,119.33333333333333,117.22222222222221,23.317984369617545,12.777777777777786
175,14.583333333333334,121.33333333333333,127.0,67.66666666666667,125.66666666666667,106.77777777777779,27.66108823725371,14.555555555555543
176,14.666666666666666,154.0,125.0,76.33333333333333,137.0,112.77777777777777,26.23163672804461,41.22222222222223
177,14.75,168.66666666666666,110.66666666666667,85.66666666666667,122.66666666666667,106.33333333333333,15.412837362262524,62.33333333333333
178,14.833333333333334,150.33333333333334,127.0,97.33333333333333,111.0,111.77777777777777,12.123846515070525,38.55555555555557
179,14.916666666666666,105.33333333333333,109.33333333333333,112.0,114.0,111.77777777777777,1.9116278371205857,-6.444444444444443
180,15.0,106.0,118.66666666666667,123.33333333333333,133.66666666666666,125.22222222222221,6.267691011631308,-19.222222222222214
181,15.083333333333334,93.33333333333333,91.0,147.66666666666666,122.33333333333333,120.33333333333333,23.177255773390968,-27.0
182,15.166666666666666,123.0,106.66666666666667,121.66666666666667,106.0,111.44444444444446,7.233324799448799,11.555555555555543
183,15.25,132.33333333333334,114.0,97.33333333333333,118.0,109.77777777777777,8.949791362489899,22.55555555555557
184,15.333333333333334,139.33333333333334,113.66666666666667,123.0,133.0,123.22222222222223,7.89436429703627,16.111111111111114
185,15.416666666666666,160.66666666666666,120.66666666666667,126.0,97.0,114.55555555555556,12.603154611954878,46.1111111111111
186,15.5,143.33333333333334,121.33333333333333,97.66666666666667,109.33333333333333,109.44444444444444,9.662195645470959,33.8888888888889
187,15.583333333333334,161.0,118.0,114.33333333333333,106.66666666666667,113.0,4.721895413527948,48.0
188,15.666666666666666,115.66666666666667,116.66666666666667,128.33333333333334,143.66666666666666,129.55555555555554,11.056532620141216,-13.888888888888872
189,15.75,104.33333333333333,79.33333333333333,132.33333333333334,117.33333333333333,109.66666666666667,22.30595336576215,-5.333333333333343
190,15.833333333333334,113.33333333333333,99.33333333333333,107.33333333333333,82.66666666666667,96.44444444444444,10.27522490817501,16.888888888888886
191,15.916666666666666,137.66666666666666,85.66666666666667,94.66666666666667,92.66666666666667,91.0,3.858612300930075,46.66666666666666
192,16.0,134.0,107.66666666666667,90.33333333333333,112.33333333333333,103.44444444444444,9.464684195131936,30.555555555555557
193,16.083333333333332,132.0,103.66666666666667,69.33333333333333,120.66666666666667,97.8888888888889,21.351265611431018,34.1111111111111
194,16.166666666666668,100.0,131.33333333333334,90.66666666666667,121.0,114.33333333333333,17.258384972292507,-14.333333333333329
195,16.25,105.0,138.66666666666666,89.33333333333333,108.66666666666667,112.22222222222223,20.29656663783189,-7.2222222222222285
196,16.333333333333332,101.66666666666667,134.33333333333334,79.33333333333333,117.0,110.22222222222223,22.959438200207252,-8.555555555555557
197,16.416666666666668,141.0,120.66666666666667,91.0,97.66666666666667,103.11111111111113,12.708507891940194,37.88888888888887
198,16.5,128.33333333333334,108.66666666666667,89.33333333333333,90.0,96.0,8.960820068291538,32.33333333333334
199,16.583333333333332,134.33333333333334,115.33333333333333,95.33333333333333,122.0,110.88888888888887,11.331154474650635,23.44444444444447
200,16.666666666666668,137.33333333333334,114.66666666666667,80.0,93.66666666666667,96.11111111111113,14.257768079797204,41.222222222222214
201,16.75,144.66666666666666,132.66666666666666,83.0,103.66666666666667,106.44444444444444,20.3712457724359,38.222222222222214
202,16.833333333333332,144.0,136.33333333333334,103.66666666666667,101.66666666666667,113.8888888888889,15.891608158916558,30.1111111111111
203,16.916666666666668,180.33333333333334,134.33333333333334,106.0,119.0,119.77777777777779,11.580102133923468,60.55555555555556
204,17.0,156.33333333333334,129.66666666666666,148.66666666666666,114.0,130.77777777777777,14.174398761390675,25.55555555555557
205,17.083333333333332,150.66666666666666,113.33333333333333,123.33333333333333,101.0,112.55555555555554,9.134117295362046,38.111111111111114
206,17.166666666666668,126.0,114.0,117.0,107.33333333333333,112.77777777777777,4.039924213932856,13.222222222222229
207,17.25,119.0,91.0,152.0,107.66666666666667,116.8888888888889,25.742792350960904,2.1111111111111
208,17.333333333333332,116.33333333333333,107.66666666666667,155.0,133.0,131.88888888888889,19.33971797514185,-15.555555555555557
209,17.416666666666668,143.66666666666666,117.0,148.0,154.0,139.66666666666666,16.21384867602041,4.0
210,17.5,116.66666666666667,115.33333333333333,127.66666666666667,93.0,112.0,14.34753818088148,4.666666666666671
211,17.583333333333332,107.66666666666667,102.66666666666667,127.33333333333333,103.33333333333333,111.1111111111111,11.474071683044961,-3.4444444444444287
212,17.666666666666668,87.0,85.66666666666667,133.33333333333334,130.0,116.33333333333333,21.72726568333149,-29.33333333333333
213,17.75,96.66666666666667,97.0,98.0,128.33333333333334,107.77777777777779,14.540704892316336,-11.111111111111114
214,17.833333333333332,120.0,94.0,100.33333333333333,90.66666666666667,95.0,4.009248567259711,25.0
215,17.916666666666668,109.33333333333333,82.0,128.33333333333334,80.0,96.77777777777779,22.328081195582918,12.555555555555543
216,18.0,109.0,115.0,124.66666666666667,100.0,113.22222222222223,10.148283318915947,-4.2222222222222285
217,18.083333333333332,122.0,95.66666666666667,95.0,112.33333333333333,101.0,8.018497134519427,21.0
218,18.166666666666668,92.33333333333333,76.33333333333333,89.33333333333333,90.33333333333333,85.33333333333333,6.377042156569663,7.0
219,18.25,92.66666666666667,90.33333333333333,87.0,103.0,93.44444444444444,6.892472186342589,-0.7777777777777715
220,18.333333333333332,87.66666666666667,100.66666666666667,97.66666666666667,94.0,97.44444444444446,2.7261875880856237,-9.777777777777786
221,18.416666666666668,107.33333333333333,89.0,99.66666666666667,98.66666666666667,95.77777777777779,4.8099690715363055,11.555555555555543
222,18.5,103.33333333333333,73.33333333333333,99.0,69.0,80.44444444444444,13.239484529893298,22.888888888888886
